timestamp;script_id;host;label;running;cpu;mem_used;mem_peak;mem_free;error
[2026-09-23 07:24:07];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 07:24:07];[Script 1];192.168.178.149;zenDash;True;0;8036;12026;17150;
[2026-09-23 07:24:07];[Script 1];192.168.178.151;watchdog;True;1;7154;11046;18032;
[2026-09-23 07:24:22];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 07:24:22];[Script 1];192.168.178.149;zenDash;True;0;8036;12026;17150;
[2026-09-23 07:24:22];[Script 1];192.168.178.151;watchdog;True;1;7154;11046;18032;
[2026-09-23 07:24:37];[Script 1];192.168.178.117;Regler;True;15;13356;19614;11830;
[2026-09-23 07:24:37];[Script 1];192.168.178.149;zenDash;True;0;8036;12026;17150;
[2026-09-23 07:24:37];[Script 1];192.168.178.151;watchdog;True;1;7154;11046;18032;
[2026-09-23 07:24:52];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 07:24:52];[Script 1];192.168.178.149;zenDash;True;0;8036;12026;17150;
[2026-09-23 07:24:52];[Script 1];192.168.178.151;watchdog;True;1;7154;11046;18032;
[2026-09-23 07:25:07];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 07:25:07];[Script 1];192.168.178.149;zenDash;True;0;8036;12026;17150;
[2026-09-23 07:25:07];[Script 1];192.168.178.151;watchdog;True;1;7154;11046;18032;
[2026-09-23 07:25:22];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 07:25:22];[Script 1];192.168.178.149;zenDash;True;0;8036;12026;17150;
[2026-09-23 07:25:22];[Script 1];192.168.178.151;watchdog;True;1;7154;11046;18032;
[2026-09-23 08:28:16];[Script 1];192.168.178.117;Regler;True;14;13356;19614;11830;
[2026-09-23 08:28:16];[Script 1];192.168.178.149;zenDash;True;0;13202;17458;11984;
[2026-09-23 08:28:16];[Script 1];192.168.178.151;watchdog;False;0;;;25200;
[2026-09-23 08:28:31];[Script 1];192.168.178.117;Regler;True;12;13356;19614;11830;
[2026-09-23 08:28:31];[Script 1];192.168.178.149;zenDash;True;0;13202;17458;11984;
[2026-09-23 08:28:31];[Script 1];192.168.178.151;watchdog;False;0;;;25200;
[2026-09-23 08:28:46];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 08:28:46];[Script 1];192.168.178.149;zenDash;True;0;13202;17458;11984;
[2026-09-23 08:28:46];[Script 1];192.168.178.151;watchdog;False;0;;;25200;
[2026-09-23 08:29:01];[Script 1];192.168.178.117;Regler;True;10;13972;19614;11214;
[2026-09-23 08:29:01];[Script 1];192.168.178.149;zenDash;True;0;13202;17458;11984;
